name,maximum_early_departure
"Delta Air Lines Inc.: DL",43
"SkyWest Airlines Inc.: OO",39
"Allegiant Air: G4",39
"Alaska Airlines Inc.: AS",37
"PSA Airlines Inc.: OH",35
"Frontier Airlines Inc.: F9",34
"JetBlue Airways: B6",30
"Spirit Air Lines: NK",30
"Envoy Air: MQ",29
"Endeavor Air Inc.: 9E",27
"Republic Airline: YX",26
"American Airlines Inc.: AA",25
"United Air Lines Inc.: UA",25
"Southwest Airlines Co.: WN",24
"Hawaiian Airlines Inc.: HA",24
